idx,AirQualityStation,img_path,s5p_path,date,NO2
0,boyne_island,boyne_island/S2A_MSIL2A_20221029T001111_N0400_R073_T56KLU_20221029T030600.npy,boyne_island/S5P_OFFL_L2__NO2____20221029.nc,29/10/2022,2.822699387
1,boyne_island,boyne_island/S2A_MSIL2A_20220711T001121_N0400_R073_T56KLU_20220711T033225.npy,boyne_island/S5P_OFFL_L2__NO2____20220711.nc,11/07/2022,2.273840545
2,boyne_island,boyne_island/S2B_MSIL2A_20230522T001119_N0509_R073_T56KLU_20230522T014308.npy,boyne_island/S5P_OFFL_L2__NO2____20230522.nc,22/05/2023,1.881799591
3,boyne_island,boyne_island/S2B_MSIL2A_20191020T001109_N0500_R073_T56KLU_20230703T233523.npy,boyne_island/S5P_RPRO_L2__NO2____20191020.nc,20/10/2019,2.822699387
4,boyne_island,boyne_island/S2B_MSIL2A_20220417T001109_N0400_R073_T56KLU_20220417T022754.npy,boyne_island/S5P_OFFL_L2__NO2____20220417.nc,17/04/2022,0.548858841
5,boyne_island,boyne_island/S2A_MSIL2A_20220412T001111_N0400_R073_T56KLU_20220412T023341.npy,boyne_island/S5P_OFFL_L2__NO2____20220412.nc,12/04/2022,1.881799591
6,boyne_island,boyne_island/S2A_MSIL2A_20191005T001111_N0500_R073_T56KLU_20230613T235833.npy,boyne_island/S5P_OFFL_L2__NO2____20191005.nc,5/10/2019,5.959032665
7,boyne_island,boyne_island/S2A_MSIL2A_20190826T001111_N0500_R073_T56KLU_20230501T010213.npy,boyne_island/S5P_OFFL_L2__NO2____20190826.nc,26/08/2019,9.879447853
8,boyne_island,boyne_island/S2A_MSIL2A_20230527T001111_N0509_R073_T56KLU_20230527T030116.npy,boyne_island/S5P_OFFL_L2__NO2____20230527.nc,27/05/2023,1.799982708
9,boyne_island,boyne_island/S2A_MSIL2A_20220820T001121_N0400_R073_T56KLU_20220820T024713.npy,boyne_island/S5P_OFFL_L2__NO2____20220820.nc,20/08/2022,2.665883381
